Name,Address.Latitude,Address.Longitude,DBSCAN_labels_case1,DBSCAN_labels_case2,DBSCAN_labels_case3,DBSCAN_labels_case4
Bowling Green,36.949290999999995,-86.43625,0,0,0,0
Flowood,32.343338,-90.06062299999999,0,0,0,0
North Jackson,32.398559999999996,-90.147817,0,0,0,0
Jonesboro,35.822936,-90.666448,0,0,0,0
Hattiesburg,31.323514000000003,-89.385061,0,0,0,0
Owensboro,37.717488,-87.122615,0,0,0,0
Elizabethtown,37.728429,-85.880339,0,0,0,0
D'Iberville,30.454942,-88.899895,0,0,0,0
Covington,30.442442,-90.14066,0,0,0,0
Hammond,30.480532,-90.461589,0,0,0,0
Monroe,32.499827,-92.070689,0,0,0,0
Metairie,30.002898,-90.184112,0,0,0,0
Kenner,30.017065000000002,-90.247514,0,0,0,0
Harvey,29.889546999999997,-90.053431,0,0,0,0
Baton Rouge East,30.441249,-91.022367,0,0,0,0
Baton Rouge Siegen,30.384458000000002,-91.06133100000001,0,0,0,0
Evansville,37.975406,-87.470714,0,0,0,0
Evansville North,38.015727000000005,-87.57646700000001,0,0,0,0
Cape Girardeau,37.299212,-89.58019399999999,0,0,0,0
Louisville Jefferson Pavilion,38.145684,-85.67264200000001,0,0,0,0
Marion,37.749039,-88.979309,0,0,0,0
Bashford Manor,38.198329,-85.670463,0,0,0,0
Jeffersontown,38.215374,-85.594476,0,0,0,0
St Matthews,38.258635999999996,-85.642057,0,0,0,0
New Albany,38.305507,-85.84163199999999,0,0,0,0
Middletown,38.246049,-85.514987,0,0,0,0
Waterford Park,38.327641,-85.764438,0,0,0,0
Springhurst,38.296935,-85.55712199999999,0,0,0,0
Lexington,37.992925,-84.526448,0,0,0,0
Lexington SE,38.022057000000004,-84.41514699999999,0,0,0,0
Gainesville,29.621259000000002,-82.383618,0,0,0,0
Gainesville University of FL,29.653539000000002,-82.338389,0,0,0,0
Houma,29.611226000000002,-90.756986,0,0,0,0
Lafayette N,30.265299,-91.995832,0,0,0,0
Lafayette,30.160103000000003,-92.049102,0,0,0,0
Jacksonville West,30.199232000000002,-81.824713,0,0,0,0
Brunswick,31.200847999999997,-81.48039200000001,0,0,0,0
Ortega,30.234997999999997,-81.695184,0,0,0,0
Yulee,30.630008,-81.553842,0,0,0,0
Fleming Island,30.104009,-81.707476,0,0,0,0
Jacksonville Mandarin,30.188558,-81.62916899999999,0,0,0,0
Regency,30.328925,-81.548558,0,0,0,0
Jacksonville St Johns,30.260515,-81.52501099999999,0,0,0,0
Southside,30.193734000000003,-81.54910500000001,0,0,0,0
Ocala,29.173759000000004,-82.156912,0,0,0,0
Jacksonville East,30.285360999999998,-81.456998,0,0,0,0
Jacksonville Beach,30.253951,-81.390833,0,0,0,0
Johnson City,36.342907000000004,-82.373841,0,0,0,0
Kingsport,36.551845,-82.493877,0,0,0,0
Lexington,34.006787,-81.193833,0,0,0,0
Columbia NW,34.066744,-81.164761,0,0,0,0
Savannah,31.984042,-81.175146,0,0,0,0
Savannah East,32.040926,-81.068312,0,0,0,0
Hilton Head,32.255069,-80.850245,0,0,0,0
Anchorage South,61.129093999999995,-149.881696,1,1,1,1
Anchorage NE,61.226817000000004,-149.745678,1,1,1,1
Wasilla,61.578202000000005,-149.404066,1,1,1,1
Bryant,34.604255,-92.530967,0,0,2,2
Little Rock West,34.755508,-92.414374,0,0,2,2
Little Rock Univer,34.749789,-92.345077,0,0,2,2
Little Rock North,34.788416,-92.228336,0,0,2,2
Conway,35.086431,-92.414034,0,0,2,2
Fort Smith,35.341003,-94.388125,0,0,0,0
Texarkana,33.457924,-94.092134,0,0,0,0
Fayetteville,36.1157,-94.1555,0,0,0,0
